PRICE,BEDS,BATH,PROPERTYSQFT
989000,4,2,1827
890000,5,2,2144
469888,2,2,1164
310000,2,1,2184.207862
479000,1,1,2184.207862
1290000,4,3,2184.207862
4250000,3,4,3376
7400000,4,2.3738608579684373,3700
899000,3,2,2184.207862
16500000,2,2,5834
659000,3,2,1300
1150000,5,3,2184.207862
499000,5,2,2184.207862
725000,3,2,1476
929000,3,2,2184.207862
629000,2,2,1600
285000,3,1,1428
315000,2,1,2184.207862
698000,2,2,824
849000,4,3,2184.207862
1775000,6,4,4900
3850000,4,2,2160
4500000,5,4,3180
465000,2,2,988
869900,4,2,2280
699000,3,2.3738608579684373,2034
799000,3,2,864
290000,1,1,2184.207862
575000,5,3,2076
290000,1,1,2184.207862
500000,5,3,2472
2750000,3,5,4600
495000,2,1,766
1199000,4,4,2279
605000,3,2,1500
550000,2,1,2184.207862
768000,3,2,1065
2099000,3,2,1711
575000,3,2,1480
639000,3,2,1224
525000,3,1,2184.207862
850000,3,2.3738608579684373,2160
674999,5,2,2600
345000,1,1,2184.207862
788888,5,2,3443
379000,2,2,1160
1495000,1,1,814
2288000,4,3,1788
699000,4,2,2184.207862
250000,1,1,900
1120000,3,2,2184.207862
25000000,7,2.3738608579684373,20000
858000,2,2,2184.207862
1275000,1,1,1000
1070000,4,2,2192
4800000,10,4,5353
14600000,6,2.3738608579684373,6630
895000,2,2,2184.207862
1250000,6,3,2400
1788000,6,5,2184.207862
799000,4,3,1344
879000,3,2,2184.207862
963000,4,4,2400
998000,11,6,2184.207862
950000,2,1,1000
410000,2,1,2184.207862
269000,1,1,900
8500000,7,6,7000
1195000,11,6,2184.207862
550000,2,1,1069
2800000,16,16,10720
940000,9,4,2184.207862
865000,3,3,2184.207862
7995000,3,4,4412
690000,3,2,1284
330000,3,1,2184.207862
8750000,7,8,5000
619000,2,2,1200
899000,3,1,1050
1175000,2,2,1144
2999000,8,2.3738608579684373,6000
1395000,2,2,1793
800000,2,2,2184.207862
499000,2,1,686
1625000,4,4,2743
799999,3,3,1444
1139000,4,4,3150
529000,3,2,1650
300000,3,1,1200
799000,5,4,1802
869000,6,3,1526
749000,3,2,1480
240900,2,1,875
1295000,3,1,2184.207862
3850000,8,6,6200
549000,5,2,1716
129000,1,1,750
475000,3,2,900
980000,4,3,1408
1199000,4,2,1824
1299999,5,5,3134
265000,2,1,1100
262500,1,1,2184.207862
2699000,7,6,11250
1200000,4,4,3300
850000,1,1,2184.207862
2699000,7,6,11250
989000,6,4,2720
1200000,4,4,3300
899999,5,3,1800
2780000,5,6,3045
999000,2,1,1050
699000,6,2,2184.207862
60000,3,1,445
499999,4,2,1248
599999,3,2,1272
725000,4,2,2000
998888,3,2,1780
980000,3,4,2700
800000,3,2,2184.207862
1299000,3,4,4450
799000,3,2,1128
995000,3,2,3080
1250000,5,3,2295
1275000,3,4,2184.207862
749999,6,3,3150
2650000,5,4,4100
999000,2,1,2184.207862
279000,2,1,2184.207862
479000,2,2,1008
2300000,2,2,1600
294000,1,2,1074
1390000,6,5,2245
450000,3,2,1026
999000,3,2,2184.207862
1999000,4,4,3420
1288000,6,3,2184.207862
639888,5,3,1376
569900,4,2,2180
1630000,7,4,2184.207862
689888,3,2,1300
378000,2,1,2184.207862
23900000,6,2.3738608579684373,7110
149000,1,1,2184.207862
589000,4,3,1320
958000,3,2,2259
195000,1,1,2184.207862
299000,1,1,608
1750000,4,4,3645
815000,3,2,2184.207862
989000,5,3,2184.207862
1075000,2,2,2184.207862
879000,2,1,1000
999995,2,1,2184.207862
430000,2,2,1200
445000,3,2,2184.207862
999000,3,2,1900
2299000,6,4,2184.207862
1225000,4,2,1960
849000,3,2,2184.207862
1350000,4,3,1760
1600000,4,4,3150
600000,3,1,441
435000,3,1,2184.207862
4999999,4,4,4342
800000,3,2.3738608579684373,2184.207862
329000,1,1,750
10975000,3,4,2184.207862
599000,4,2,2184.207862
699999,4,2,2184.207862
539000,1,1,725
370000,3,1,2184.207862
1499000,9,6,2184.207862
299000,1,1,2184.207862
2400000,5,4,3800
275000,1,1,850
1395000,3,3,1750
568000,2,1,550
1049000,3,2,2184.207862
568000,2,1,550
1049000,3,2,2184.207862
899000,4,2,1200
495000,1,1,2184.207862
535000,3,3,1328
799999,3,2,1596
1989000,2,2,1274
699000,6,4,2223
369000,1,1,900
599000,4,4,2100
169000,1,1,680
749000,3,2,1600
1099000,5,4,3500
475000,2,2,1364
124900,1,1,676
619000,3,2,1943
599000,3,1,1008
689900,3,2,1486
5900000,7,8,10100
249000,2,1,815
509000,3,1,2184.207862
549000,3,2,1150
2995000,4,6,2184.207862
1999000,6,4,3850
350000,3,2.3738608579684373,2184.207862
269000,1,1,2184.207862
7500000,6,2.3738608579684373,2184.207862
9950000,10,10,2184.207862
2200000,3,4,1779
479000,4,2,1800
60000000,8,8,2184.207862
329000,1,1,2184.207862
1500000,5,7,4384
560000,3,2.3738608579684373,2184.207862
588000,4,3,2160
3300000,2,2,1652
479000,4,2,1800
169999,2,1,2184.207862
439000,1,1,950
758000,3,2,1760
448000,3,1,2184.207862
588000,4,3,2160
2977000,4,4,2601
385000,1,1,900
1475000,5,4,1928
978000,3,2,2184.207862
2700000,3,3,1398
3500000,24,8,9500
349000,2,1,900
790000,3,2,1596
750000,2,2,995
1195000,3,3,995
1750000,3,3,995
874999,3,2,2868
324900,1,1,900
97500,2,1,791
2200000,2,2,2035
999000,4,4,1798
550000,2,2,995
519999,3,2,1100
729000,2,1,1100
999999,12,6,3900
2898555,5,5,7200
611999,3,2,2184.207862
1500000,3,3,2100
5600000,5,4,4959
299999,2,1,857
2358000,4,5,6300
748888,2,2,1260
630000,2,2,1450
1389000,2,2,1043
319000,2,1,925
319000,3,1,2184.207862
1250000,6,4,2184.207862
1199000,4,3,1848
1500000,6,4,3328
780000,3,2,1320
350000,2,1,2184.207862
255000,1,1,750
649000,2,2,905
1480000,4,4,1596
628000,3,2,1824
190000,2,1,875
450000,2,1,2184.207862
2473888,4,6,5600
785000,3,2,1950
699900,3,2,1240
2495000,3,4,2184.207862
149999,1,1,850
208000,1,1,610
172800,1,1,750
1768888,10,10,3933
1239998,4,4,2250
1699000,9,5,5500
1350000,3,3,2184.207862
889000,3,2,2362
1300000,2,2,1100
310000,2,1,675
11000000,50,50,22035
1149000,7,4,3617
239900,1,1,585
257000,3,1,450
1090000,2,2,1860
799999,6,2.3738608579684373,2184.207862
2045000,6,4,3976
1195000,3,2,2700
340000,2,1,900
1375000,6,2,1596
749000,3,1,1644
1399000,5,4,2184.207862
775000,3,2,1880
1090000,2,2,1860
340000,2,1,900
948000,7,3,2184.207862
1399000,5,4,2184.207862
880000,3,2,2184.207862
699000,1,1,600
2250000,4,3,2184.207862
319000,3,1,2184.207862
1300000,6,3,2184.207862
729000,3,3,1800
425000,2,2,800
399000,1,1,2184.207862
625000,3,1,652
269000,1,1,700
449000,2,2,1440
699000,8,5,2300
550000,3,2,1250
799900,3,2.3738608579684373,2058
758000,3,1,1200
829000,4,2,1680
789000,2,2,1230
24990000,7,6,8500
2250000,6,4,2184.207862
359000,1,1,2184.207862
1439000,6,4,1440
1050000,7,4,3280
134500,3,1,503
11900000,6,2.3738608579684373,9075
270000,4,2,2000
